Nome,CNPJ,Cidade,Contato,Telefone,Equipamento
Schwartz e Costa Ltda,11.111.111/1111-11,Ipatinga - MG,Elmiro,(11)99999-0097,[30/04/2025] - [1605] - Mach Door 4S
Schwartz e Costa Ltda,11.111.111/1111-11,Ipatinga - MG,Elmiro,(11)99999-0098,[30/04/2025] - [1605] - Mach Door 4S
Smart Industria e Comercio de Moveis Ltda ME,11.111.111/1111-11,Vila Velha - ES,Alexandre,(11)99999-0099,[30/04/2025] - [1727] - Turbo DUO DNA 
Smart Industria e Comercio de Moveis Ltda ME,11.111.111/1111-11,Vila Velha - ES,Alexandre,(11)99999-0100,[30/04/2025] - [1727] - Turbo DUO DNA 
Sordi Móvelaria,11.111.111/1111-11,Balneário Camboriu - SC,Fernando,(11)99999-0104,[12/05/2025] - [1616] - Turbo DNA com mesa
Sordi Móvelaria,11.111.111/1111-11,Balneário Camboriu - SC,Fernando,(11)99999-0105,[12/05/2025] - [1616] - Turbo DNA com mesa
Katta / Tecnoframe,11.111.111/1111-11,Cotia - SP,-,(11)99999-0106,[29/04/2025] - [1601] - 5 und Lifter
Casa das Serras (RV Móveis),11.111.111/1111-11,São Paulo - SP,Ronaldo,(11)99999-0107,[19/05/2025] - [1611] - Turbo DUO DNA
Casa das Serras (RV Móveis),11.111.111/1111-11,São Paulo - SP,Ronaldo,(11)99999-0108,[19/05/2025] - [1611] - Turbo DUO DNA
MVW TRANSPORTES / Exclusiva móveis,11.111.111/1111-11,Jaraguá do Sul - SC,José,(11)99999-0109,[23/05/2025] - [1649] - Turbo DNA + coletor 10CV
MVW TRANSPORTES / Exclusiva móveis,11.111.111/1111-11,Jaraguá do Sul - SC,José,(11)99999-0110,[23/05/2025] - [1649] - Turbo DNA + coletor 10CV
Camargo Móveis,11.111.111/1111-11,Concórdia - SC,Augusto,(11)99999-0111,[26/05/2025] - [1658] - Turbo DNA
Camargo Móveis,11.111.111/1111-11,Concórdia - SC,Augusto,(11)99999-0112,[26/05/2025] - [1658] - Turbo DNA
